From \ To,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
1,0,87.211,97.6069,106.8138,395.17359999999996,480.5043,444.3403,451.619,594.1972,604.9676,605.0224000000001,678.5310999999999,557.5306999999999,569.0145,634.4363000000001,594.8946,175.4749,281.8142,363.7137,277.1398,353.94109999999995,311.72040000000004,312.4415,350.1057,346.7856,335.4298,313.0721,362.9002,420.764,445.71520000000004,373.45090000000005,441.21070000000003,366.36420000000004,549.5941,490.617,529.2689,512.2425,479.936,422.8804,435.7903,446.43190000000004,436.148,435.8298,198.46529999999998,164.8843,110.7198,519.8032000000001,556.2321999999999,578.0077,470.76509999999996,483.84409999999997,583.002,459.1539,685.1902,638.5251,666.8109000000001,642.4754,715.6791,575.5037,627.1496,629.8874000000001,586.8518,577.0618000000001,571.3039,574.8128,616.8089,278.6518,311.4405,227.5172,257.925,261.11039999999997,316.0831,302.10720000000003,503.00329999999997,451.9647,432.9882,449.51090000000005,451.9647,690.2649,636.0004,589.9445,620.0847,591.5811,265.1508,264.5897,273.11990000000003,257.6666,207.87529999999998,378.934,389.3298,535.4281,436.9765
2,87.211,0,5.3945,119.2012,311.4745,396.8052,360.6412,367.91990000000004,529.5518000000001,521.8373,521.8921,595.4008,474.40040000000005,485.8842,569.7909000000001,511.7644,189.7656,296.10490000000004,299.06829999999997,194.0095,270.8108,228.5901,229.3112,285.46029999999996,282.1402,270.7844,248.4267,298.2548,356.11859999999996,381.0698,308.8055,376.5653,301.7188,466.4638,407.4867,446.1386,429.11220000000003,396.8057,339.7501,352.6601,363.30170000000004,353.0177,352.6995,133.8199,100.2389,91.4715,455.1578,491.5868,513.3623,406.1197,419.19870000000003,518.3566,394.5085,602.0599,555.3948,583.6806,559.3451,632.5488,492.3735,544.0193,546.7570999999999,503.15270000000004,493.3627,487.6048,491.1137,533.1098000000001,214.00639999999999,246.79510000000002,162.87179999999998,193.27960000000002,196.465,251.4377,237.46179999999998,438.35790000000003,387.3193,368.3428,384.8655,387.3193,607.1346,552.8702,506.8142,536.3855,508.45090000000005,181.45170000000002,180.8906,189.42079999999999,174.53629999999998,124.745,295.23490000000004,403.6204,418.47429999999997,353.8462
3,97.6069,5.3945,0,130.4043,309.209,394.53970000000004,358.3757,365.6544,532.8186999999999,520.7563,520.8111,594.3198000000001,473.31940000000003,484.8032,573.0577,510.6833,200.9687,315.4226,291.52070000000003,192.9285,269.7298,227.50910000000002,228.23020000000002,288.72709999999995,285.407,274.0512,251.6936,301.5216,359.3854,384.3366,312.0723,379.83209999999997,304.9857,465.3828,406.4057,445.0576,428.0311,395.7247,338.66909999999996,351.579,362.2206,351.93670000000003,351.6184,137.0867,103.50569999999999,94.73830000000001,458.4246,494.8537,516.6291,409.3865,422.4655,521.6234000000001,397.7753,600.9789000000001,554.3138,582.5996,558.2641,631.4678,491.29240000000004,542.9383,545.6761,500.8872,491.0972,485.3393,488.8482,530.8443000000001,217.2732,250.062,166.1386,196.5465,199.7318,199.6064,240.7286,441.6247,390.5861,371.6096,388.1323,390.5861,606.0536,551.7891,505.7331,534.1201,507.3698,179.1862,178.6251,187.15529999999998,173.4553,123.664,292.9694,422.9382,416.2088,352.7652
4,106.8138,119.2012,130.4043,0,356.26759999999996,441.5982,405.43420000000003,412.713,626.6554,637.4258000000001,637.4806,710.9893000000001,589.9889000000001,601.4726999999999,666.8944,627.3528,93.78110000000001,200.1204,396.17190000000005,309.598,386.3993,344.17859999999996,344.8997,382.56390000000005,379.24379999999996,367.888,345.5303,395.3584,453.2222,478.1734,405.90909999999997,473.6689,398.8224,582.0523000000001,523.0752,561.7271,544.7006,512.3942,455.3386,468.2485,478.89009999999996,468.6062,468.28790000000004,230.9235,197.3424,188.5751,552.2614,588.6904000000001,610.4659,503.2233,516.3023,615.4602,491.6121,717.6484,670.9833000000001,699.2691,674.9336,748.1373000000001,607.9619,659.6078,662.3456,547.9457,538.1558,532.3979,535.9068000000001,577.9029,311.11,343.8987,259.9754,290.3832,293.5686,348.5412,334.5654,535.4615,484.4228,465.44640000000004,481.96909999999997,484.4228,722.723,668.4585999999999,539.3299000000001,581.1786,624.0393,226.2448,225.6836,234.2138,319.3347,240.3335,307.3824,307.636,453.73440000000005,469.4347
5,395.17359999999996,311.4745,309.209,356.26759999999996,0,80.0001,46.125800000000005,51.1149,574.3224,471.085,471.1398,544.6485,423.6481,435.13190000000003,600.9086,461.012,281.7705,294.9396,301.458,275.46029999999996,279.6671,216.2922,216.0394,494.84020000000004,491.52009999999996,480.16429999999997,429.2623,507.6347,565.4986,590.4497,469.4737,585.9452,511.0988,415.7115,356.73440000000005,395.3863,378.3598,218.105,158.4839,301.90770000000003,312.5493,302.26529999999997,301.9471,463.3145,415.135,406.3677,664.5377,700.9668,722.7421999999999,615.4996,628.5785999999999,727.7365,603.8884,551.3076,504.6425,532.9283,508.5928,581.7965,441.62109999999996,493.267,496.0048,186.3476,176.5577,170.79979999999998,174.30870000000002,216.30470000000003,434.6701,378.77070000000003,470.162,396.78909999999996,400.6443,328.9845,483.9144,414.77340000000004,356.29040000000003,405.95529999999997,355.6597,356.29040000000003,333.8896,337.0336,177.7318,219.5805,213.38029999999998,130.3447,141.3616,134.7877,184.89479999999998,226.2633,119.55980000000001,263.5372,195.1959,303.0939
6,480.5043,396.8052,394.53970000000004,441.5982,80.0001,0,67.2024,31.0966,585.7736,482.5362,482.59090000000003,556.0997,435.09929999999997,446.5831,612.3597,472.46320000000003,366.4326,379.6017,312.9092,286.9114,291.1182,227.74329999999998,227.4906,506.2914,502.9712,491.6155,440.7135,519.0859,576.9497,601.9009,480.9248,597.3964,522.5499,224.6352,368.1855,406.8375,389.811,167.873,144.4137,313.3589,324.0005,313.7165,313.3983,474.76559999999995,435.1182,491.02979999999997,675.9889000000001,712.4179,734.1933,626.9508000000001,640.0298,739.1876,615.3396,347.21009999999995,516.0935999999999,544.3795,312.2517,358.6491,453.0723,504.7182,507.456,141.72379999999998,131.9339,126.176,129.6849,171.681,446.1212,390.2219,481.6131,408.2403,412.0955,340.4357,495.3655,426.2245,367.74159999999995,417.4065,367.1108,367.74159999999995,258.35360000000003,261.4977,102.1959,174.9567,137.8444,215.0068,226.02370000000002,219.4497,179.92079999999999,231.4889,196.1874,340.1648,224.67589999999998,314.545
7,444.3403,360.6412,358.3757,405.43420000000003,46.125800000000005,67.2024,0,77.76360000000001,530.1975,426.96009999999995,427.0148,500.5236,379.52320000000003,391.007,556.7836,416.8871,330.2643,343.4334,257.3331,231.3353,235.5421,172.1672,171.9145,450.7153,447.39509999999996,436.0394,385.1374,463.5098,521.3736,546.3248000000001,425.3487,541.8203000000001,466.9738,371.5866,312.60940000000005,351.26140000000004,334.23490000000004,163.5958,114.35889999999999,257.7828,268.42440000000005,258.1404,257.8222,419.1896,379.5421,497.37620000000004,620.4128000000001,656.8418,678.6171999999999,571.3747,584.4536999999999,683.6115,559.7635,507.1826,460.5175,488.8034,464.4678,537.6715,397.4962,449.14209999999997,451.8799,188.39079999999998,178.6009,172.843,176.3519,218.348,390.5451,334.6458,426.037,352.6642,356.5194,284.8596,439.7894,370.64840000000004,312.1655,361.8304,311.5347,312.1655,295.445,298.5891,139.2873,221.6237,174.9358,178.8385,189.8554,183.2814,114.7097,175.91279999999998,174.6934,318.6708,239.3108,258.9689
8,451.619,367.91990000000004,365.6544,412.713,51.1149,31.0966,77.76360000000001,0,596.4547,493.21729999999997,493.27209999999997,566.7808,445.78040000000004,457.2642,623.0409000000001,483.1443,338.2808,351.4499,323.5903,297.5926,301.79940000000005,238.4245,238.17170000000002,516.9725,513.6524000000001,502.29659999999996,451.39459999999997,529.7671,587.6309,612.582,491.606,608.0775,533.2311,258.7926,378.86670000000004,417.5186,400.4922,218.8158,155.0949,324.04,334.6816,324.3977,324.0795,485.4468,445.79940000000005,462.878,686.6700999999999,723.0991,744.8745,637.632,650.711,749.8688000000001,626.0206999999999,373.74920000000003,526.7748,555.0606,338.7909,385.1882,463.7534,515.3993,518.1371,137.3508,127.5608,121.8029,125.3118,167.3079,456.80240000000003,400.903,492.29429999999996,418.9214,422.7766,351.1168,506.0467,436.9057,378.4227,428.0877,377.792,378.4227,284.8927,288.03679999999997,128.735,170.58370000000002,164.3835,186.855,197.87189999999998,191.298,241.4051,282.7736,168.03570000000002,312.01309999999995,196.5241,325.2262
9,594.1972,529.5518000000001,532.8186999999999,626.6554,574.3224,585.7736,530.1975,596.4547,0,116.158,102.3238,110.2305,203.26829999999998,157.78539999999998,57.8621,239.4034,697.9126,739.9045,454.52,461.6528,384.9676,402.2704,402.0177,249.1952,251.9511,261.325,307.06190000000004,279.1245,175.39020000000002,259.8745,288.7738,187.1223,249.7304,377.423,218.94,233.3701,195.93439999999998,364.54859999999996,408.2382,279.64029999999997,269.9232,279.3329,278.0013,411.5116,446.6425,489.6982,84.3476,66.3594,149.5463,116.97439999999999,187.35129999999998,107.5317,146.0094,513.0191,318.1688,335.91240000000005,470.3043,543.508,403.33259999999996,454.9785,457.7163,708.9635,699.1735,693.4155999999999,696.9245,738.9205999999999,341.5293,361.5911,407.5534,350.3173,344.1985,406.8893,410.4846,165.6241,178.2906,173.1064,191.4905,178.2906,518.0938,463.8293,484.9676,552.436,486.60429999999997,584.126,586.3265,579.7526,491.4762,518.3818,699.9684,847.4200999999999,791.9155,277.08279999999996
10,604.9676,521.8373,520.7563,637.4258000000001,471.085,482.5362,426.96009999999995,493.21729999999997,116.158,0,1.5172,69.0379,89.4895,53.1261,125.298,125.6245,622.0762,635.2453,382.99129999999997,356.9935,280.3083,297.6112,297.3584,318.8383,321.5942,330.9681,316.9467,348.76759999999996,245.0333,329.5175,271.8053,256.76529999999997,319.3735,272.7638,114.2808,119.5912,91.27510000000001,259.8893,303.57890000000003,174.981,165.2639,174.6736,173.342,481.1547,516.2855999999999,559.3413,167.7018,213.9083,245.8126,195.48729999999998,256.9944,240.678,215.6525,408.3598,204.38989999999998,222.1335,365.645,438.8488,298.6734,350.3193,244.17929999999998,604.3041999999999,594.5143,588.7564,592.2653,634.2614,411.17240000000004,303.96790000000004,477.1965,419.96040000000005,413.84159999999997,410.51779999999997,480.1277,128.8256,191.8328,193.4919,196.3193,191.8328,413.4345,359.1701,380.3084,447.7768,381.945,479.4667,481.6673,475.0933,386.817,413.7226,595.3091999999999,742.7608,687.2561999999999,172.4235
11,605.0224000000001,521.8921,520.8111,637.4806,471.1398,482.59090000000003,427.0148,493.27209999999997,102.3238,1.5172,0,69.1883,88.3179,52.8007,125.44839999999999,124.453,621.7506999999999,634.9198,382.6658,356.6681,279.9828,297.2857,297.03290000000004,319.6826,322.4385,331.8124,316.6212,349.61190000000005,245.8776,330.3618,271.47990000000004,257.6096,320.2178,272.43829999999997,113.95530000000001,118.4196,90.94969999999999,259.5639,303.2534,174.6556,164.9384,174.34820000000002,173.0165,481.999,517.1299,560.1856,168.5461,214.7526,246.6569,196.3316,257.8387,241.5223,216.49679999999998,408.0344,203.2183,220.962,365.3196,438.5233,298.34790000000004,349.99379999999996,243.00779999999997,603.9787,594.1888,588.4309000000001,591.9398,633.9359000000001,412.0167,303.6424,478.0408,420.8047,414.6859,410.1923,480.972,152.9377,191.5074,194.33620000000002,195.9938,191.5074,413.109,358.84459999999996,379.98290000000003,447.4513,381.6196,479.1412,481.3418,474.76779999999997,386.4915,413.39709999999997,594.9837,742.4354000000001,686.9307,172.098
12,678.5310999999999,595.4008,594.3198000000001,710.9893000000001,544.6485,556.0997,500.5236,566.7808,110.2305,69.0379,69.1883,0,155.2181,125.9745,93.03439999999999,130.8402,694.9245999999999,708.0935999999999,455.8397,429.8419,353.1567,370.4595,370.2068,399.9876,402.7435,412.11740000000003,389.7951,429.9169,326.1826,410.6669,344.6537,337.91470000000004,400.52279999999996,345.6121,187.12920000000003,185.3198,164.1235,332.7377,376.4273,247.8294,238.11229999999998,247.522,246.19039999999998,562.304,597.435,640.4907,248.8512,172.4847,326.9619,276.6367,338.1438,201.4553,296.8018,481.20820000000003,232.1262,249.8699,438.4934,511.6971,371.5218,274.7604,271.9156,677.1526,667.3626999999999,661.6048000000001,665.1137,707.1097,492.3218,376.8163,558.3458,501.1098,494.9909,483.3662,561.2771,210.3459,264.6812,274.6413,269.1677,264.6812,486.28290000000004,432.0185,453.1567,520.6251,454.7934,552.3151,554.5156,547.9417,459.66540000000003,486.571,668.1576,815.6092,760.1046,245.2719
13,557.5306999999999,474.40040000000005,473.31940000000003,589.9889000000001,423.6481,435.09929999999997,379.52320000000003,445.78040000000004,203.26829999999998,89.4895,88.3179,155.2181,0,73.8077,212.295,58.7333,573.937,587.106,334.852,308.85429999999997,232.16910000000001,249.4719,249.2192,404.3608,404.67670000000004,399.0213,462.6564,434.2901,330.5558,415.0401,366.7723,342.28790000000004,398.0865,154.64970000000002,135.46189999999999,29.8737,88.2642,211.89839999999998,255.43970000000002,126.99010000000001,117.27289999999999,126.53439999999999,131.9195,496.7085,457.06109999999995,574.8951999999999,253.2244,299.4308,331.33509999999995,281.0099,342.5169,326.20059999999995,301.175,273.2669,137.4987,155.2423,230.5521,303.75579999999997,163.5804,180.1329,177.28810000000001,556.165,546.3751,540.6170999999999,544.1261,586.1220999999999,468.0641,412.16470000000004,503.556,430.1832,434.0384,362.37859999999995,517.3084,174.44420000000002,286.7998,337.0143,291.2863,286.7998,278.34159999999997,224.0771,332.3174,399.7858,333.9541,431.3275,433.528,426.9541,338.6778,365.58340000000004,547.17,694.6216,639.117,124.4325
14,569.0145,485.8842,484.8032,601.4726999999999,435.13190000000003,446.5831,391.007,457.2642,157.78539999999998,53.1261,52.8007,125.9745,73.8077,0,182.4794,122.4132,586.3716,599.5406999999999,347.2867,321.289,153.53529999999998,261.9066,261.6539,270.24170000000004,259.9273,254.2719,267.1642,294.67220000000003,285.6431,370.1274,222.0229,297.3752,253.3371,237.0592,64.4983,168.97529999999998,41.4927,224.1848,267.8743,139.2765,129.55939999999998,138.9691,137.63739999999999,403.2561,438.3871,481.4428,208.3117,254.5181,286.42240000000004,236.0971,297.6042,281.2878,256.2623,372.6553,201.17860000000002,218.9222,329.9405,403.1442,262.9688,314.6147,317.3525,568.5997,558.8096999999999,553.0518000000001,556.5607,598.5568000000001,333.2739,254.1854,399.2979,342.06190000000004,335.943,374.8132,402.2292,103.4807,142.0504,192.26489999999998,146.5369,142.0504,377.73,323.4655,344.6038,412.0722,346.2405,443.7622,445.9627,439.38870000000003,351.11240000000004,378.018,559.6046,707.0563000000001,651.5517,136.7189
15,634.4363000000001,569.7909000000001,573.0577,666.8944,600.9086,612.3597,556.7836,623.0409000000001,57.8621,125.298,125.44839999999999,93.03439999999999,212.295,182.4794,0,247.2604,737.9024000000001,764.0009,494.5098,524.9309000000001,409.06390000000005,426.3668,426.114,289.185,291.9409,301.3148,347.0518,319.1143,215.38,299.8643,328.76370000000003,227.1121,289.72020000000003,401.5194,243.0364,241.227,220.03070000000002,388.6449,432.3345,303.73659999999995,294.0195,303.42920000000004,302.0976,451.50140000000005,486.6324,529.6881,124.33739999999999,80.81230000000001,179.0662,186.984,227.3411,109.7829,185.9992,537.1154,326.0258,343.7694,494.4006,567.6043000000001,427.429,368.66,365.8152,733.0598,723.2699,717.512,721.0209,763.017,381.5191,401.58090000000004,447.5432,390.3072,384.18829999999997,446.8792,450.4745,215.611,241.7398,271.8383,245.7421,241.7398,542.1901,487.9257,509.06390000000005,576.5324,510.70059999999995,608.2223,610.4228,603.8489000000001,515.5726,542.4781999999999,724.0648,871.5164,816.0118,301.17909999999995
16,594.8946,511.7644,510.6833,627.3528,461.012,472.46320000000003,416.8871,483.1443,239.4034,125.6245,124.453,130.8402,58.7333,122.4132,247.2604,0,611.3174,624.4865,372.2325,346.2348,269.5495,286.85240000000005,286.59959999999995,441.14709999999997,442.0572,436.4018,500.03679999999997,471.07640000000004,367.34209999999996,451.82640000000004,404.1528,379.0742,435.467,189.6781,184.7678,65.6373,148.5787,249.2788,292.82009999999997,164.3705,154.6534,163.9149,169.3,534.089,494.4416,612.2755999999999,290.0107,336.21709999999996,368.12140000000005,317.7962,379.3033,362.98690000000005,337.9613,235.09779999999998,101.8852,119.62889999999999,228.9835,302.1872,161.05,144.5195,141.6747,593.5454,583.7555,577.9975999999999,581.5065,623.5026,505.4446,449.5452,540.9365,467.56359999999995,471.4188,399.759,554.6888,223.7501,324.1803,374.3947,328.6667,324.1803,276.3263,222.06189999999998,369.6978,437.1663,371.3345,468.7079,470.9085,464.3345,376.0582,402.9638,584.5504,732.0020999999999,676.4974,161.813
17,175.4749,189.7656,200.9687,93.78110000000001,281.7705,366.4326,330.2643,338.2808,697.9126,622.0762,621.7506999999999,694.9245999999999,573.937,586.3716,737.9024000000001,611.3174,0,113.1023,452.4854,393.6327,430.6945,344.13390000000004,337.56690000000003,451.96320000000003,448.643,437.2873,414.9296,464.7577,522.6215,547.5726999999999,475.3083,543.0681999999999,468.2217,566.3634000000001,507.3863,546.0382,529.0118,496.70529999999997,371.78909999999996,452.5597,463.2013,452.9173,452.59909999999996,300.3227,266.74170000000004,257.9744,621.6606999999999,658.0897,679.8651,572.6225999999999,585.7016,684.8594,561.0114,701.9595,655.2944,683.5802,659.2447,732.4484,592.2731,643.9189,646.6567,473.7063,463.9163,458.15840000000003,461.6673,503.6634,380.5092,413.298,329.3746,359.7825,362.9678,417.9405,403.9647,565.4253,507.3178,534.8457,506.6871,507.3178,621.2483000000001,652.7698,465.0905,506.9392,500.739,152.00529999999998,151.44420000000002,159.9744,245.09529999999998,286.4638,220.3643,220.6179,366.7163,453.7458
18,281.8142,296.10490000000004,315.4226,200.1204,294.9396,379.6017,343.4334,351.4499,739.9045,635.2453,634.9198,708.0935999999999,587.106,599.5406999999999,764.0009,624.4865,113.1023,0,464.9819,406.1292,443.191,356.6304,350.0634,559.0756,555.7555,544.3996999999999,522.0421,571.8702,629.734,654.6850999999999,582.4208000000001,650.1806,575.3342,578.8599,519.8828,558.5346999999999,541.5083000000001,509.2019,384.2856,465.0562,475.6978,465.4138,465.0956,407.4352,373.8542,365.0868,728.7731,765.2022,786.9775999999999,679.735,692.814,791.9719,668.1238000000001,714.456,667.7909000000001,696.0767,671.7411999999999,744.9449000000001,604.7696,656.4154,659.1532,486.20279999999997,476.41290000000004,470.6549,262.613,516.1599,487.62170000000003,520.4105,436.4871,466.895,470.08029999999997,492.5085,511.0771,577.9218000000001,519.8143,569.4793000000001,519.1836,519.8143,633.7448,665.2663,477.587,519.4357,513.2355,164.50179999999997,163.94070000000002,172.4709,257.5918,298.96029999999996,107.9549,114.6097,260.7081,466.2423
